Field,StrategyOrDate,TOP_N_COUNT,Value
AggReturn,2019-05-09 00:00:00,4,-0.0359409149875948
AggReturn,2019-05-09 00:00:00,6,-0.0265319535533556
AggReturn,2019-05-09 00:00:00,8,-0.0021595437485441
AggReturn,2019-05-10 00:00:00,2,-0.0094786729857819
AggReturn,2019-05-10 00:00:00,4,0.0175169935001898
AggReturn,2019-05-10 00:00:00,6,0.015470112523896
AggReturn,2019-05-10 00:00:00,8,0.0108312621387966
AggReturn,2019-05-13 00:00:00,2,0.0322317421460628
AggReturn,2019-05-13 00:00:00,4,0.0183503150765357
AggReturn,2019-05-13 00:00:00,6,0.0161691399899284
AggReturn,2019-05-13 00:00:00,8,0.0229928854094812
AggReturn,2019-05-14 00:00:00,2,0.0531468531468531
AggReturn,2019-05-14 00:00:00,4,0.0448517398792011
AggReturn,2019-05-14 00:00:00,6,0.0276762718050256
AggReturn,2019-05-14 00:00:00,8,0.018471296095334
AggReturn,2019-05-15 00:00:00,2,-0.0840500848399742
AggReturn,2019-05-15 00:00:00,4,-0.0043078580998741
AggReturn,2019-05-15 00:00:00,6,0.0026600912533809
AggReturn,2019-05-15 00:00:00,8,-0.0070303031569855
AggReturn,2019-05-16 00:00:00,2,0.0505012531328321
AggReturn,2019-05-16 00:00:00,4,-0.0055689929312397
AggReturn,2019-05-16 00:00:00,6,-0.0152468938770283
AggReturn,2019-05-16 00:00:00,8,0.0056600283745283
AggReturn,2019-05-17 00:00:00,2,0.0441899285913011
AggReturn,2019-05-17 00:00:00,4,0.0289138972657716
AggReturn,2019-05-17 00:00:00,6,0.0340664295113836
AggReturn,2019-05-17 00:00:00,8,0.0424510788483635
AggReturn,2019-05-20 00:00:00,2,0.0679028652712863
AggReturn,2019-05-20 00:00:00,4,0.0544057916281762
AggReturn,2019-05-20 00:00:00,6,0.0472862349512707
AggReturn,2019-05-20 00:00:00,8,0.0335227631628598
AggReturn,2019-05-21 00:00:00,2,0.01273080433409
AggReturn,2019-05-21 00:00:00,4,0.000370860504685
AggReturn,2019-05-21 00:00:00,6,-0.012612563493191
AggReturn,2019-05-21 00:00:00,8,0.0040704945835858
AggReturn,2019-05-22 00:00:00,2,0.0395119605721841
AggReturn,2019-05-22 00:00:00,4,0.0068238411800263
AggReturn,2019-05-22 00:00:00,6,-0.0105735959815616
AggReturn,2019-05-22 00:00:00,8,-0.1549903757992487
AggReturn,2019-05-23 00:00:00,2,0.0730387029288703
AggReturn,2019-05-23 00:00:00,4,0.0830991825270639
AggReturn,2019-05-23 00:00:00,6,0.0877678311965729
AggReturn,2019-05-23 00:00:00,8,0.0970295824383656
AggReturn,2019-05-24 00:00:00,2,0.0367579908675799
AggReturn,2019-05-24 00:00:00,4,0.04511009371598
AggReturn,2019-05-24 00:00:00,6,0.0455084183719981
AggReturn,2019-05-24 00:00:00,8,0.0308713346363685
AggReturn,2019-05-28 00:00:00,2,-0.0550082101806239
AggReturn,2019-05-28 00:00:00,4,-0.0169495968166482
AggReturn,2019-05-28 00:00:00,6,-0.0268106104115568
AggReturn,2019-05-28 00:00:00,8,-0.0269281442177108
AggReturn,2019-05-29 00:00:00,2,0.0803986710963455
AggReturn,2019-05-29 00:00:00,4,0.0456578223358902
AggReturn,2019-05-29 00:00:00,6,0.0421132479553439
AggReturn,2019-05-29 00:00:00,8,0.0100262433485412
AggReturn,2019-05-30 00:00:00,2,-0.0714835212868257
AggReturn,2019-05-30 00:00:00,4,-0.015029789359061
AggReturn,2019-05-30 00:00:00,6,-0.0108581855672765
AggReturn,2019-05-30 00:00:00,8,-0.0820331004812167
AggReturn,2019-05-31 00:00:00,2,0.0077434302786416
AggReturn,2019-05-31 00:00:00,4,0.0208908884443642
AggReturn,2019-05-31 00:00:00,6,0.0294040628631879
AggReturn,2019-05-31 00:00:00,8,0.0177065681572759
AggReturn,2019-06-03 00:00:00,2,-0.0470839424221734
AggReturn,2019-06-03 00:00:00,4,0.0131326738367921
AggReturn,2019-06-03 00:00:00,6,0.0123039384810373
AggReturn,2019-06-03 00:00:00,8,0.0236511345193329
AggReturn,2019-06-04 00:00:00,2,0.0273646610474919
