Field,StrategyOrDate,MOMENTUM_WINDOW,VOLATILITY_WINDOW,Value
AggReturn,2019-03-08 00:00:00,200,40,-0.1484272855330942
AggReturn,2019-03-08 00:00:00,200,80,0.0026040767684805
AggReturn,2019-03-11 00:00:00,100,40,-0.0210256536119771
AggReturn,2019-03-11 00:00:00,100,80,0.0243021138438522
AggReturn,2019-03-11 00:00:00,200,40,-0.0384682632560065
AggReturn,2019-03-11 00:00:00,200,80,-0.0295747741641773
AggReturn,2019-03-12 00:00:00,100,40,0.0481776278691957
AggReturn,2019-03-12 00:00:00,100,80,0.011650996010796
AggReturn,2019-03-12 00:00:00,200,40,0.0442753824896113
AggReturn,2019-03-12 00:00:00,200,80,0.0256435573205612
AggReturn,2019-03-13 00:00:00,100,40,0.03216192682473
AggReturn,2019-03-13 00:00:00,100,80,0.0075132138648206
AggReturn,2019-03-13 00:00:00,200,40,0.0387768367806923
AggReturn,2019-03-13 00:00:00,200,80,0.0184073428428036
AggReturn,2019-03-14 00:00:00,100,40,0.0002398231041512
AggReturn,2019-03-14 00:00:00,100,80,0.0042363933672557
AggReturn,2019-03-14 00:00:00,200,40,0.0090204854192343
AggReturn,2019-03-14 00:00:00,200,80,-0.0005766630037148
AggReturn,2019-03-15 00:00:00,100,40,0.0044618210433253
AggReturn,2019-03-15 00:00:00,100,80,0.0393343026607949
AggReturn,2019-03-15 00:00:00,200,40,-0.0366722019858258
AggReturn,2019-03-15 00:00:00,200,80,0.0122437313682605
AggReturn,2019-03-18 00:00:00,100,40,0.0529639409756151
AggReturn,2019-03-18 00:00:00,100,80,0.0286268292023112
AggReturn,2019-03-18 00:00:00,200,40,0.0445744143775497
AggReturn,2019-03-18 00:00:00,200,80,-0.0248961208971628
AggReturn,2019-03-19 00:00:00,100,40,0.0273572703902045
AggReturn,2019-03-19 00:00:00,100,80,0.026416823352788
AggReturn,2019-03-19 00:00:00,200,40,-0.0122519275885838
AggReturn,2019-03-19 00:00:00,200,80,0.0031761935076141
AggReturn,2019-03-20 00:00:00,100,40,-0.0017005627122825
AggReturn,2019-03-20 00:00:00,100,80,0.0017049042858704
AggReturn,2019-03-20 00:00:00,200,40,0.0132751758630603
AggReturn,2019-03-20 00:00:00,200,80,-0.0038373685775152
AggReturn,2019-03-21 00:00:00,100,40,-0.0116135273907191
AggReturn,2019-03-21 00:00:00,100,80,-0.0342038173253494
AggReturn,2019-03-21 00:00:00,200,40,-0.0213519391155959
AggReturn,2019-03-21 00:00:00,200,80,-0.0675078818532513
AggReturn,2019-03-22 00:00:00,100,40,0.0115521100303621
AggReturn,2019-03-22 00:00:00,100,80,0.0127289664594363
AggReturn,2019-03-22 00:00:00,200,40,0.0153917865311621
AggReturn,2019-03-22 00:00:00,200,80,0.0259895534322202
AggReturn,2019-03-25 00:00:00,100,40,0.0186106631434196
AggReturn,2019-03-25 00:00:00,100,80,0.0080605196859758
AggReturn,2019-03-25 00:00:00,200,40,0.0143012461174704
AggReturn,2019-03-25 00:00:00,200,80,0.011266834768
AggReturn,2019-03-26 00:00:00,100,40,-0.0030037538874872
AggReturn,2019-03-26 00:00:00,100,80,0.0107620457020419
AggReturn,2019-03-26 00:00:00,200,40,0.0207903865999563
AggReturn,2019-03-26 00:00:00,200,80,0.0601365617529165
AggReturn,2019-03-27 00:00:00,100,40,0.0240476766683091
AggReturn,2019-03-27 00:00:00,100,80,0.0058427056344252
AggReturn,2019-03-27 00:00:00,200,40,0.003681223148336
AggReturn,2019-03-27 00:00:00,200,80,0.0427638485504072
AggReturn,2019-03-28 00:00:00,100,40,0.0269434112364407
AggReturn,2019-03-28 00:00:00,100,80,0.025516285290486
AggReturn,2019-03-28 00:00:00,200,40,-0.0060674672380723
AggReturn,2019-03-28 00:00:00,200,80,-0.0105751974573835
AggReturn,2019-03-29 00:00:00,100,40,0.0193085680183906
AggReturn,2019-03-29 00:00:00,100,80,0.0059019826182906
AggReturn,2019-03-29 00:00:00,200,40,0.0227956272666219
AggReturn,2019-03-29 00:00:00,200,80,0.0072773599182725
AggReturn,2019-04-01 00:00:00,100,40,0.0091672440111401
AggReturn,2019-04-01 00:00:00,100,80,0.0147793653902713
AggReturn,2019-04-01 00:00:00,200,40,0.0117361086366487
AggReturn,2019-04-01 00:00:00,200,80,0.0024411755436157
AggReturn,2019-04-02 00:00:00,100,40,-0.0116081537028179
AggReturn,2019-04-02 00:00:00,100,80,-0.0133452797005984
AggReturn,2019-04-02 00:00:00,200,40,-0.0221335204491725
AggReturn,2019-04-02 00:00:00,200,80,-0.0065783319734272
AggReturn,2019-04-03 00:00:00,100,40,0.0206677579867003
AggReturn,2019-04-03 00:00:00,100,80,0.0071800546013553
AggReturn,2019-04-03 00:00:00,200,40,0.0076800511550983
AggReturn,2019-04-03 00:00:00,200,80,0.0190722560464345
AggReturn,2019-04-04 00:00:00,100,40,0.0119613414346568
AggReturn,2019-04-04 00:00:00,100,80,0.025619517883531
AggReturn,2019-04-04 00:00:00,200,40,0.0027970042552894
AggReturn,2019-04-04 00:00:00,200,80,0.003218953492205
AggReturn,2019-04-05 00:00:00,100,40,0.0078725259770061
AggReturn,2019-04-05 00:00:00,100,80,0.0127599846617478
AggReturn,2019-04-05 00:00:00,200,40,-0.0049656035669407
AggReturn,2019-04-05 00:00:00,200,80,-0.0082719534423139
AggReturn,2019-04-08 00:00:00,100,40,-0.0063499888370961
AggReturn,2019-04-08 00:00:00,100,80,-0.0004421681886134
AggReturn,2019-04-08 00:00:00,200,40,-0.0153161410088894
AggReturn,2019-04-08 00:00:00,200,80,-0.0058499401825731
AggReturn,2019-04-09 00:00:00,100,40,0.0210440733430493
AggReturn,2019-04-09 00:00:00,100,80,0.0190032570165187
AggReturn,2019-04-09 00:00:00,200,40,-0.0215106841845588
AggReturn,2019-04-09 00:00:00,200,80,-0.0191450200591829
AggReturn,2019-04-10 00:00:00,100,40,-0.115663971545976
AggReturn,2019-04-10 00:00:00,100,80,-0.0133117864443565
AggReturn,2019-04-10 00:00:00,200,40,0.0002310956461754
AggReturn,2019-04-10 00:00:00,200,80,-0.1074936588451021
AggReturn,2019-04-11 00:00:00,100,40,0.0611232546502707
AggReturn,2019-04-11 00:00:00,100,80,0.0295633913274845
AggReturn,2019-04-11 00:00:00,200,40,0.0137352283824869
AggReturn,2019-04-11 00:00:00,200,80,0.0438059168679391
AggReturn,2019-04-12 00:00:00,100,40,0.0236651032744485
AggReturn,2019-04-12 00:00:00,100,80,0.0035413916072747
